Company,Company Path,Country,Industry,Earnings,Employees,Marketcap,Net-Assets,Operating-Margin,Pe-Ratio,Ps-Ratio,Revenue,Total-Assets,Total-Debt,Total-Liabilities
Fidelity National Financial,https://companiesmarketcap.com/fidelity-national-financial,USA,Insurance,690000000,21759,13280000000,7460000000,0.0622,25.5,1.15,11520000000,80610000000,4280000000,73150000000
Uniqa Insurance Group,https://companiesmarketcap.com/uniqa-insurance-group,Austria,Insurance,440000000,21200,2650000000,2440000000,0.0646,11.7,0.4085,6530000000,30310000000,1920000000,27870000000
First American,https://companiesmarketcap.com/first-american,USA,Insurance,400000000,21153,5900000000,4860000000,0.0621,25.1,0.9775,5990000000,16800000000,2190000000,11940000000
Markel,https://companiesmarketcap.com/markel,USA,Insurance,2650000000,20900,18670000000,15520000000,0.1744,10.3,1.2,15710000000,55040000000,3770000000,39510000000
SBI Life Insurance,https://companiesmarketcap.com/sbi-life-insurance,India,Insurance,230000000,20787,17900000000,1730000000,0.0218,80.8,1.28,14150000000,45790000000,,44060000000
T&D Holdings,https://companiesmarketcap.com/td-holdings,Japan,Insurance,920000000,20016,9000000000,8360000000,-0.0113,-25.5,0.5895,15080000000,1.2021E+11,900000000,1.1184E+11
Japan Post Insurance,https://companiesmarketcap.com/japan-post-insurance,Japan,Insurance,860000000,19776,7560000000,20350000000,0.0444,9.72,0.3462,21390000000,4.3267E+11,2830000000,4.1231E+11
Principal,https://companiesmarketcap.com/principal,USA,Insurance,730000000,19300,18760000000,11210000000,0.315,11.9,1.38,13660000000,3.0504E+11,3990000000,2.9383E+11
The Hartford,https://companiesmarketcap.com/the-hartford,USA,Insurance,3280000000,18800,29060000000,15320000000,0.1147,13.1,1.19,24320000000,76780000000,4360000000,61450000000
AEGON,https://companiesmarketcap.com/aegon,Netherlands,Insurance,-2020000000,18500,11150000000,11130000000,-0.1009,-7.04,0.8894,12010000000,4.1653E+11,5860000000,4.0539E+11
Amerco,https://companiesmarketcap.com/amerco,USA,Insurance,1120000000,17901,12420000000,7080000000,0.2318,16,2.21,5710000000,19000000000,6500000000,11910000000
ICICI Prulife,https://companiesmarketcap.com/icici-prulife,India,Insurance,120000000,17822,10850000000,1320000000,0.0128,98.6,1.15,9440000000,34900000000,140000000,33570000000
Shin Kong Financial Holding,https://companiesmarketcap.com/shin-kong-financial-holding,Taiwan,Insurance,-440000000,16332,4010000000,8020000000,-0.2065,-15.8,5.11,790000000,1.6144E+11,3290000000,1.5342E+11
Momentum Metropolitan,https://companiesmarketcap.com/momentum-metropolitan,South Africa,Insurance,490000000,15991,1450000000,1440000000,,4.75,0.2025,6620000000,33960000000,320000000,32510000000
Brown & Brown,https://companiesmarketcap.com/brown-and-brown,USA,Insurance,1140000000,15201,23360000000,5570000000,0.2406,31.4,5.63,4190000000,14880000000,4010000000,9300000000
Molina Healthcare,https://companiesmarketcap.com/molina-healthcare,USA,Insurance,1570000000,15000,22060000000,4210000000,0.041,23.3,0.6478,34070000000,14890000000,2380000000,10670000000
